id,Masa,Longitud_tarso,Longitud_ala,Longitud_pico,Longitud_pluma_interior_de_la_cola,Longitud_pluma_exterior_de_la_cola,target
2012-08-19-A03,11.2,11.7,13.0,8.5,NA,NA,1
2012-08-19-D06,10.2,12.0,11.0,8.7,NA,NA,1
2012-08-19-E16,11.6,12.0,13.0,8.6,NA,NA,1
2012-08-20-A03,12.4,NA,NA,NA,NA,NA,2
2012-08-20-D06,11.0,NA,NA,NA,NA,NA,2
2012-08-20-E14,10.4,12.1,14.0,7.7,NA,NA,1
2012-08-20-E16,14.5,NA,NA,NA,NA,NA,2
2012-08-21-A03,13.7,NA,NA,NA,NA,NA,3
2012-08-21-D05,10.0,13.1,14.0,8.5,NA,NA,1
2012-08-21-D06,12.6,NA,NA,NA,NA,NA,3
2012-08-21-E14,11.3,12.7,14.0,8.0,NA,NA,2
2012-08-21-E16,16.9,NA,NA,NA,NA,NA,3
2012-08-22-A03,12.6,13.8,14.0,9.0,NA,NA,4
2012-08-22-B12,9.5,11.5,11.0,8.3,NA,NA,1
2012-08-22-D05,10.0,NA,NA,NA,NA,NA,2
2012-08-22-D06,16.6,13.8,14.0,9.1,NA,NA,4
2012-08-22-E14,13.3,NA,NA,NA,NA,NA,3
2012-08-22-E16,16.4,13.3,15.0,10.1,NA,NA,4
2012-08-23-A03,15.3,NA,NA,NA,NA,NA,5
2012-08-23-B13,9.3,12.3,13.0,8.6,NA,NA,1
2012-08-23-D05,10.0,NA,NA,NA,NA,NA,3
2012-08-23-D06,14.2,NA,NA,NA,NA,NA,5
2012-08-23-E14,15.0,14.2,14.0,8.8,NA,NA,4
2012-08-23-E16,20.9,NA,NA,NA,NA,NA,5
2012-08-24-A03,18.3,NA,NA,NA,NA,NA,6
2012-08-24-B12,15.6,NA,NA,NA,NA,NA,3
2012-08-24-D05,11.4,13.6,14.0,8.6,NA,NA,4
2012-08-24-D06,17.5,NA,NA,NA,NA,NA,6
2012-08-24-E14,13.4,NA,NA,NA,NA,NA,5
2012-08-24-E16,18.0,NA,NA,NA,NA,NA,6
2012-08-24-E17,8.0,12.8,13.0,8.4,NA,NA,1
2012-08-24-F06,7.9,12.5,13.0,7.8,NA,NA,1
2012-08-25-A03,15.7,15.8,15.0,9.2,NA,NA,7
2012-08-25-B06,9.8,12.3,14.0,8.1,NA,NA,1
2012-08-25-B12,17.4,NA,NA,NA,NA,NA,4
2012-08-25-D05,10.4,NA,NA,NA,NA,NA,5
